name,Line_Item,figures,Period_Type,Period,Year,Report,State,url_1,index1,figure_type
HOLLYWOOD CASINO,HOLLYWOOD CASINO,,Monthly,Jul,2019,MONTHLY Sports Wagering Report,PA,Barstool,0,Online Sports Wagering
HOLLYWOOD CASINO,Total Sports Wagering,,Monthly,Jul,2019,MONTHLY Sports Wagering Report,PA,Barstool,1,not_figure
HOLLYWOOD CASINO,Handle*,1772466,Monthly,Jul,2019,MONTHLY Sports Wagering Report,PA,Barstool,2,Total Sports Wagering
HOLLYWOOD CASINO,Revenue,196188,Monthly,Jul,2019,MONTHLY Sports Wagering Report,PA,Barstool,3,Total Sports Wagering
HOLLYWOOD CASINO,Promotional Credits,0,Monthly,Jul,2019,MONTHLY Sports Wagering Report,PA,Barstool,4,Total Sports Wagering
HOLLYWOOD CASINO,Gross Revenue (Taxable),196188,Monthly,Jul,2019,MONTHLY Sports Wagering Report,PA,Barstool,5,Total Sports Wagering
HOLLYWOOD CASINO,State Tax Due (34%),66704,Monthly,Jul,2019,MONTHLY Sports Wagering Report,PA,Barstool,6,Total Sports Wagering
HOLLYWOOD CASINO,Local Share Assessment (2%),3924,Monthly,Jul,2019,MONTHLY Sports Wagering Report,PA,Barstool,7,Total Sports Wagering
HOLLYWOOD CASINO,Retail Sports Wagering,,Monthly,Jul,2019,MONTHLY Sports Wagering Report,PA,Barstool,8,not_figure
HOLLYWOOD CASINO,Handle*,1772466,Monthly,Jul,2019,MONTHLY Sports Wagering Report,PA,Barstool,9,Retail Sports Wagering
HOLLYWOOD CASINO,Gross Revenue (Taxable),196188,Monthly,Jul,2019,MONTHLY Sports Wagering Report,PA,Barstool,10,Retail Sports Wagering
HOLLYWOOD CASINO,State Tax Due (34%),66704,Monthly,Jul,2019,MONTHLY Sports Wagering Report,PA,Barstool,11,Retail Sports Wagering
HOLLYWOOD CASINO,Local Share Assessment (2%),3924,Monthly,Jul,2019,MONTHLY Sports Wagering Report,PA,Barstool,12,Retail Sports Wagering
HOLLYWOOD CASINO,Online Sports Wagering,,Monthly,Jul,2019,MONTHLY Sports Wagering Report,PA,Barstool,13,not_figure
HOLLYWOOD CASINO,Handle*,0,Monthly,Jul,2019,MONTHLY Sports Wagering Report,PA,Barstool,14,Online Sports Wagering
HOLLYWOOD CASINO,Revenue,0,Monthly,Jul,2019,MONTHLY Sports Wagering Report,PA,Barstool,15,Online Sports Wagering
HOLLYWOOD CASINO,Promotional Credits,0,Monthly,Jul,2019,MONTHLY Sports Wagering Report,PA,Barstool,16,Online Sports Wagering
HOLLYWOOD CASINO,Gross Revenue (Taxable),0,Monthly,Jul,2019,MONTHLY Sports Wagering Report,PA,Barstool,17,Online Sports Wagering
HOLLYWOOD CASINO,State Tax Due (34%),0,Monthly,Jul,2019,MONTHLY Sports Wagering Report,PA,Barstool,18,Online Sports Wagering
HOLLYWOOD CASINO,Local Share Assessment (2%),0,Monthly,Jul,2019,MONTHLY Sports Wagering Report,PA,Barstool,19,Online Sports Wagering
HOLLYWOOD CASINO,,,Monthly,Jul,2019,MONTHLY Sports Wagering Report,PA,Barstool,20,not_figure
HOLLYWOOD CASINO,,,Monthly,Jul,2019,MONTHLY Sports Wagering Report,PA,Barstool,21,not_figure
