Name,Freq,Month,Year,Date,State,url_1,url_2,url_3,internet_revenue,retail_revenue,internet_handle,retail_handle,internet_promo,tier_1_internet_wagers,tier_1_internet_handle,tier_1_internet_revenue,tier_2_internet_wagers,tier_2_internet_handle,tier_2_internet_revenue,tier_1_retail_wagers,tier_1_retail_handle,tier_1_retail_revenue,tier_2_retail_wagers,tier_2_retail_handle,tier_2_retail_revenue,internet_hold,retail_hold,retail_betsize,internet_betsize
BALLY'S PARK PLACE,Monthly,4,2020,2020-04,NJ,Caesars,888.com,Wynn,20095.0,0.0,,,,,,,,,,,,,,,,,,,
BALLY'S PARK PLACE,Monthly,8,2019,2019-08,NJ,Caesars,888.com,Wynn,340832.0,0.0,,,,,,,,,,,,,,,,,,,
BALLY'S PARK PLACE,Monthly,8,2020,2020-08,NJ,Caesars,888.com,Wynn,-41648.0,0.0,,,,,,,,,,,,,,,,,,,
BALLY'S PARK PLACE,Monthly,12,2019,2019-12,NJ,Caesars,888.com,Wynn,64759.0,0.0,,,,,,,,,,,,,,,,,,,
BALLY'S PARK PLACE,Monthly,2,2020,2020-02,NJ,Caesars,888.com,Wynn,34183.0,0.0,,,,,,,,,,,,,,,,,,,
BALLY'S PARK PLACE,Monthly,1,2020,2020-01,NJ,Caesars,888.com,Wynn,491164.0,0.0,,,,,,,,,,,,,,,,,,,
BALLY'S PARK PLACE,Monthly,7,2019,2019-07,NJ,Caesars,888.com,Wynn,236254.0,0.0,,,,,,,,,,,,,,,,,,,
BALLY'S PARK PLACE,Monthly,7,2020,2020-07,NJ,Caesars,888.com,Wynn,357132.0,0.0,,,,,,,,,,,,,,,,,,,
BALLY'S PARK PLACE,Monthly,6,2019,2019-06,NJ,Caesars,888.com,Wynn,26752.0,0.0,,,,,,,,,,,,,,,,,,,
BALLY'S PARK PLACE,Monthly,6,2020,2020-06,NJ,Caesars,888.com,Wynn,43561.0,0.0,,,,,,,,,,,,,,,,,,,
BALLY'S PARK PLACE,Monthly,3,2020,2020-03,NJ,Caesars,888.com,Wynn,44413.0,0.0,,,,,,,,,,,,,,,,,,,
BALLY'S PARK PLACE,Monthly,5,2020,2020-05,NJ,Caesars,888.com,Wynn,107171.0,0.0,,,,,,,,,,,,,,,,,,,
BALLY'S PARK PLACE,Monthly,11,2019,2019-11,NJ,Caesars,888.com,Wynn,455568.0,3.0,,,,,,,,,,,,,,,,,,,
BALLY'S PARK PLACE,Monthly,10,2019,2019-10,NJ,Caesars,888.com,Wynn,536600.0,0.0,,,,,,,,,,,,,,,,,,,
BALLY'S PARK PLACE,Monthly,10,2020,2020-10,NJ,Caesars,888.com,Wynn,395548.0,0.0,,,,,,,,,,,,,,,,,,,
BALLY'S PARK PLACE,Monthly,9,2019,2019-09,NJ,Caesars,888.com,Wynn,486668.0,0.0,,,,,,,,,,,,,,,,,,,
BALLY'S PARK PLACE,Monthly,9,2020,2020-09,NJ,Caesars,888.com,Wynn,244974.0,0.0,,,,,,,,,,,,,,,,,,,
BALLY'S PARK PLACE LLC,Monthly,4,2019,2019-04,NJ,Caesars,888.com,Wynn,270782.0,0.0,,,,,,,,,,,,,,,,,,,
BALLY'S PARK PLACE LLC,Monthly,8,2018,2018-08,NJ,Caesars,888.com,Wynn,0.0,267796.0,,,,,,,,,,,,,,,,,,,
BALLY'S PARK PLACE LLC,Monthly,12,2018,2018-12,NJ,Caesars,888.com,Wynn,108892.0,19862.0,,,,,,,,,,,,,,,,,,,
BALLY'S PARK PLACE LLC,Monthly,2,2019,2019-02,NJ,Caesars,888.com,Wynn,223347.0,-40847.0,,,,,,,,,,,,,,,,,,,
BALLY'S PARK PLACE LLC,Monthly,1,2019,2019-01,NJ,Caesars,888.com,Wynn,262932.0,236370.0,,,,,,,,,,,,,,,,,,,
BALLY'S PARK PLACE LLC,Monthly,3,2019,2019-03,NJ,Caesars,888.com,Wynn,336866.0,233991.0,,,,,,,,,,,,,,,,,,,
BALLY'S PARK PLACE LLC,Monthly,5,2019,2019-05,NJ,Caesars,888.com,Wynn,235674.0,0.0,,,,,,,,,,,,,,,,,,,
BALLY'S PARK PLACE LLC,Monthly,11,2018,2018-11,NJ,Caesars,888.com,Wynn,205046.0,-26557.0,,,,,,,,,,,,,,,,,,,
BALLY'S PARK PLACE LLC,Monthly,10,2018,2018-10,NJ,Caesars,888.com,Wynn,108359.0,303240.0,,,,,,,,,,,,,,,,,,,
