Month,Year,State,retail_revenue,internet_revenue,internet_handle,retail_handle,retail_hold,internet_hold,total_revenue,total_handle,internet_revenue_per,internet_handle_per,retail_revenue_per,retail_handle_per,total_hold
 July ,2020,CO,165560.0,5031039.0,58568558.0,582751.0,0.2841007565838583,0.0858999977428162,5196599.0,59151309.0,0.9681407012548015,0.9901481301115416,0.03185929874519854,0.009851869888458428,
 August ,2020,CO,243729.0,7275870.0,126757313.0,1979926.0,0.12310005525459032,0.05740000184446952,7519599.0,128737239.0,0.9675875003441008,0.9846204096392032,0.03241249965589921,0.015379590360796848,
 September ,2020,CO,403259.0,3763075.0,203409455.0,3772304.0,0.10689992110922131,0.018500000405585866,4166334.0,207181759.0,0.9032101122953656,0.9817922966857329,0.09678988770463434,0.01820770331426716,
 October ,2020,CO,677943.0,16724466.0,206474885.0,4279943.0,0.15840000672906157,0.08100000152560928,17402409.0,210754828.0,0.9610431521291104,0.9796923133832075,0.0389568478708896,0.020307686616792477,
 November ,2020,CO,705637.0,17649018.0,226851130.0,4366566.0,0.1615999849767529,0.07780000037910324,18354655.0,231217696.0,0.9615554201372895,0.9811149143186687,0.038444579862710576,0.01888508568133124,
May,2020,DC,0.0,-240.0,9723.0,,,-0.024683739586547362,-240.0,,1.0,,-0.0,,
June,2020,DC,0.0,36985.0,223730.0,,,0.1653108657757118,36985.0,,1.0,,0.0,,
July,2020,DC,1740.0,142280.0,741500.0,1830.0,0.9508196721311475,0.19188132164531355,144020.0,743330.0,0.9879183446743508,0.9975381055520428,0.012081655325649216,0.0024618944479571658,
August,2020,DC,1425275.0,278141.0,2132032.0,9130410.0,0.15610197132439835,0.13045817323567377,1703416.0,11262442.0,0.1632842476529515,0.18930459308913644,0.8367157523470485,0.8106954069108636,
September,2020,DC,1305403.0,498896.0,3269118.0,12186042.0,0.10712280492714533,0.15260874645699543,1804299.0,15455160.0,0.2765040605797598,0.2115227535657994,0.7234959394202403,0.7884772464342006,
October,2020,DC,2717768.0,822101.0,4177245.0,14358602.0,0.18927803695652265,0.19680459250055957,3539869.0,18535847.0,0.23224051511510738,0.22536035175516933,0.7677594848848927,0.7746396482448307,
November,2020,DC,2728522.0,882678.0,3896127.0,13704407.0,0.19909814412254392,0.2265526765426281,3611200.0,17600534.0,0.24442789100575985,0.22136413588360443,0.7555721089942401,0.7786358641163955,
January,2019,DE,2094840.0,0.0,0.0,14130069.0,0.14825405311184256,,2094840.0,14130069.0,0.0,0.0,1.0,1.0,
February,2019,DE,-475771.0,0.0,0.0,8709205.0,-0.054628522350777135,,-475771.0,8709205.0,-0.0,0.0,1.0,1.0,
March,2019,DE,1643043.0,0.0,0.0,10483128.0,0.15673213185988,,1643043.0,10483128.0,0.0,0.0,1.0,1.0,
April,2019,DE,614839.0,0.0,0.0,6088183.0,0.10098891574054196,,614839.0,6088183.0,0.0,0.0,1.0,1.0,
May,2019,DE,405295.0,0.0,0.0,5920766.0,0.06845313596247513,,405295.0,5920766.0,0.0,0.0,1.0,1.0,
June,2019,DE,466018.0,0.0,0.0,6325464.0,0.07367333052563417,,466018.0,6325464.0,0.0,0.0,1.0,1.0,
July,2019,DE,507199.0,0.0,0.0,3920974.0,0.1293553591531084,,507199.0,3920974.0,0.0,0.0,1.0,1.0,
August,2019,DE,493106.0,0.0,0.0,4745747.0,0.10390482257060901,,493106.0,4745747.0,0.0,0.0,1.0,1.0,
September,2019,DE,4425640.0,0.0,0.0,18781406.0,0.2356394404125016,,4425640.0,18781406.0,0.0,0.0,1.0,1.0,
October,2019,DE,3388776.0,0.0,0.0,16066023.0,0.21092811830283076,,3388776.0,16066023.0,0.0,0.0,1.0,1.0,
